MR32 ASCII
Name	TYR30_slow
Frequency	1500
Date	26-08-2015 09:35:05
"Time,s"	"RT MED. GASTRO,uV"	"RT LAT. GASTRO,uV"	"RT BICEPS FEM.,uV"	"RT VMO,uV"	"RT VLO,uV"	"RT RECTUS FEM.,uV"	"RT SOLEUS,uV"	"RT SEMITEND.,uV"	"Channel 12,uV"
0.0560	1.43704	5.93835	14.2219	-300.606	-31.5429	24.5779	29.6219	0.761729	0.621168
0.0567	-4.03739	8.69888	22.439	-329.895	-53.2168	-7.15511	27.477	-7.79652	0.310584
0.0573	-7.4247	10.2075	28.5492	-339.966	-55.3588	-25.4707	16.7993	-15.1002	0.621168
0.0580	-4.34533	9.91864	26.7232	-321.352	-44.0617	-12.9586	7.95345	-15.4138	0.621168
0.0587	-0.684304	5.64945	22.7551	-245.366	-45.5849	-2.88932	0.313128	-17.5422	0.310584
0.0593	2.97672	1.05927	25.4941	-160.516	-31.5429	5.65464	-4.57167	-19.3793	0.310584
0.0600	2.36085	-2.27904	31.0073	-119.628	-0.111067	4.12938	-10.3645	-21.8213	0.621168
0.0607	1.74498	-1.66916	33.4303	-96.4301	31.3208	-8.38276	-17.3786	-20.6115	0.621168
0.0613	4.79013	0.160496	27.9522	-80.2672	57.8657	-19.3696	-22.874	-12.0532	0.310584
0.0620	4.48219	-0.160496	19.4191	-85.7554	42.602	-34.9323	-24.4083	-8.08777	0.310584
0.0627	3.28466	3.8198	16.0479	-112.612	-16.2951	-33.097	-16.768	-7.16921	0.310584
0.0633	2.97672	8.69888	13.9059	-140.072	-65.7356	-13.8762	-5.18227	-2.28519	0.621168
0.0640	0.513228	7.47911	8.70873	-140.392	-75.795	-5.02222	0.0156564	2.28519	0.621168
0.0647	-1.30018	5.32846	5.05668	-121.457	-72.4472	7.17991	-0.594943	3.80864	0.310584
0.0653	-2.22399	3.20992	1.68556	-75.9861	-88.9167	31.9066	-3.96107	6.25066	0.621168
0.0660	0.205291	3.8198	0.772548	17.087	-98.9921	40.1405	-5.18227	11.4483	0.310584
0.0667	4.17425	5.93835	5.05668	90.3384	-79.7617	42.8935	-4.57167	13.263	0.621168
0.0673	2.97672	2.60003	6.8827	90.0177	-61.1501	51.4374	-8.83021	6.85556	0.621168
0.0680	-0.102646	-1.05927	6.8827	50.9591	-74.2718	36.7924	-11.8832	-1.68028	0.310584
0.0687	0.513228	0.77038	9.93778	-1.8294	-87.0921	5.04702	-7.92214	-5.95941	0.310584
0.0693	0.821165	2.27904	7.19875	-46.9986	-46.5052	-11.1233	-6.09034	-4.1223	0.621168
0.0700	-1.91605	-1.05927	0.175579	-29.3081	29.4802	-19.6672	-9.14333	-3.80864	0.621168
0.0707	-0.376367	-0.160496	2.31765	50.3556	82.2845	-29.1289	-9.44081	-3.5174	0.310584
0.0713	3.86632	3.20992	5.65365	88.8107	82.8874	-30.9641	-8.83021	1.05298	0.310584
0.0720	1.74498	0.449388	-1.3344	51.2609	53.2961	-27.9136	-9.14333	5.04085	0.621168
0.0727	-3.45574	-2.60003	-10.1836	32.6463	11.4875	-22.1102	-7.31154	12.6581	0.621168
0.0733	-4.34533	-0.77038	-11.1317	31.1186	-35.2081	-6.54748	-7.60901	20.9027	0.310584
0.0740	-4.34533	1.99015	-3.79251	-21.0664	-70.6066	17.2615	-11.5857	21.5076	0.310584
0.0747	-4.03739	5.03957	4.14367	-77.8155	-82.824	31.9066	-13.715	5.3321	0.310584
0.0753	-3.76367	5.03957	9.62174	-93.073	-67.5602	37.09	-13.1044	-31.903	0.310584
0.0760	-1.60811	4.71858	19.4191	-100.711	-8.96466	37.09	-10.9751	-37.3919	0.310584
0.0767	0.513228	7.15812	26.4071	-133.98	81.3642	23.3626	-3.96107	4.7272	0.310584
0.0773	-2.53193	5.93835	22.1581	-169.983	97.2309	4.43939	5.80852	33.7177	0
0.0780	-6.19295	1.99015	12.3959	-183.11	12.3919	-12.0409	5.19792	35.2412	0.310584
0.0787	-5.26914	-1.38026	7.51479	-159.912	-46.5052	-29.7365	-2.12927	18.1471	0.621168
0.0793	-0.992241	-2.88893	7.79572	-107.425	-37.6516	-41.0334	-0.908071	-2.59884	0.931752
0.0800	1.74498	-4.42969	4.14367	-67.4426	-23.6096	-37.6728	2.45805	-15.7275	0.621168
0.0807	0.513228	-6.58033	-4.38948	-49.7521	-23.6096	-21.8125	0.626256	-32.5079	0.310584
0.0813	-0.992241	-3.20992	-3.19554	-41.2086	-15.9936	-2.57931	2.45805	-50.8118	-0.621168
0.0820	-4.34533	2.88893	7.51479	-44.2451	4.45853	5.96466	9.47212	-68.5108	-0.310584
0.0827	-9.2381	6.86922	12.9929	-52.7885	28.2585	6.57228	11.9145	-65.7775	0.621168
0.0833	-11.0857	11.7483	16.6449	-53.1091	40.7773	9.01519	8.25092	-46.5551	0.310584
0.0840	-9.2381	14.4767	22.1581	-46.0933	42.602	6.8823	2.45805	-48.9747	0.310584
0.0847	-4.34533	9.59765	20.3321	-37.8516	47.4889	-4.41459	-7.60901	-73.1036	0.310584
